sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	reef
150656	RRAP_ECT01_2021_Ahya_OCDA_332	RRAP_ECT01_2021_Ahya_OCDA_332_R1.fastq.gz	6ec00aecbd42aa8928fc57a763a40af0bd6b093b1d0e70d33553f3d997f4b757	RRAP_ECT01_2021_Ahya_OCDA_332_R2.fastq.gz	2e6b8c02069f8cccbc33683ef39490f8b7331335d7ba4e2b70b49cb263ed74e3	713	20220607_laffy	24519	14483	599	14438	592	45	7	0	0	13337	30	0	0	660	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.82570289	147.6265722	20210421	1.6	Davies
150628	RRAP_ECT01_2021_Ahya_OCCH_305	RRAP_ECT01_2021_Ahya_OCCH_305_R1.fastq.gz	58d02882ddd4219d87a5c223b266b4ceec1dcb855a17386c50e19f34f95c9e48	RRAP_ECT01_2021_Ahya_OCCH_305_R2.fastq.gz	2b1064b03b5ec23b604b1bd59de41f50d41e8873193e7834f5a5f4a38e39abee	713	20220607_laffy	22848	14320	585	14306	582	14	3	0	0	13197	35	27	0	490	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.67005237	147.7073453	20210420	1.6	Chicken
150354	RRAP_ECT01_2021_Ahya_HICK_15	RRAP_ECT01_2021_Ahya_HICK_15_R1.fastq.gz	f66fd61a1596e45107b124b09e22355acbdf0b558e055617d041114debc4b01e	RRAP_ECT01_2021_Ahya_HICK_15_R2.fastq.gz	d4f0430e564e2b4cb4860646924022e802a3a2286d9d973109f2b3456d49a519	713	20220607_laffy	18351	10498	486	10460	480	38	6	0	0	9642	30	0	0	645	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.47396805	145.5040515	20210319	3.7	Hicks Reef
150664	RRAP_ECT01_2021_Ahya_OCDA_340	RRAP_ECT01_2021_Ahya_OCDA_340_R1.fastq.gz	58374a3b9a949c832bbadbf48670a7c6813a58db3c46af6b9ec91ef4da02ff65	RRAP_ECT01_2021_Ahya_OCDA_340_R2.fastq.gz	2861a1ae2caebefdeff6816697b95b7169798a8ac72bacf4f78bb613c20a5c0e	713	20220607_laffy	12465	6665	343	6629	337	36	6	0	0	6088	34	0	0	272	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-18.82548689	147.6265579	20210421	1.2	Davies
150751	RRAP_ECT01_2021_Ahya_STCR_258	RRAP_ECT01_2021_Ahya_STCR_258_R1.fastq.gz	431afc33f798800c482830f47b9dcd32060a4bab74bb36f72f7e889c55001b57	RRAP_ECT01_2021_Ahya_STCR_258_R2.fastq.gz	027b8b90a43976d4a84d535fc9bc6e6ada9e04ca9a9b7d6993bcca1f8154ad55	713	20220607_laffy	13893	8152	365	8142	362	10	3	0	0	7683	36	19	0	459	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-16.07300442	145.8431185	20210415	0.8	St Crispin
150743	RRAP_ECT01_2021_Ahya_STCR_187	RRAP_ECT01_2021_Ahya_STCR_187_R1.fastq.gz	62828a4193154007c79bd8e9c2258d931960de86b54e8f79d63a1f85dfbad681	RRAP_ECT01_2021_Ahya_STCR_187_R2.fastq.gz	ccabac641be0569853cf21506fa88971ec082fcc9488b9f3f002cdb4cb75113b	713	20220607_laffy	20296	11333	532	11306	526	27	6	0	0	10119	29	0	0	580	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-16.07382576	145.8436393	20210329	0.5	St Crispin
150559	RRAP_ECT01_2021_Ahya_NDIR_67	RRAP_ECT01_2021_Ahya_NDIR_67_R1.fastq.gz	3d331ffeb06d016cffb6e9bc5246dcc0560fe038e961c9f0920c250b9b2aaff8	RRAP_ECT01_2021_Ahya_NDIR_67_R2.fastq.gz	f57f25bab73bd6f3c9f68f2f72bfae573f121fc5a1f07859a5e0cb23195b405d	713	20220607_laffy	12230	417	58	417	58	0	0	0	0	372	32	0	0	95	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.74307081	145.5130658	20210322	1.5	North Direction Island Reef
150537	RRAP_ECT01_2021_Ahya_NDIR_45b	RRAP_ECT01_2021_Ahya_NDIR_45b_R1.fastq.gz	a7f7e25dc34586c44a1f3ef368f24ce65d76a9c144813c1ae1a763b9ebb7ba8a	RRAP_ECT01_2021_Ahya_NDIR_45b_R2.fastq.gz	b67c3401cfadbc1438cab5dcf6887577e48dd3d67dd68512933f1286b25a7cc4	713	20220607_laffy	15011	338	49	338	49	0	0	0	0	308	31	0	0	85	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	999	999	20210324	1.5	North Direction Island Reef
150226	Negative_Control_P6_A	Negative_Control_P6_A_R1.fastq.gz	8afebd216f07fbcbcb7dcf9a651d85a84e32b0106188817b19dcd31edf23e9e5	Negative_Control_P6_A_R2.fastq.gz	1ebd93ee56f60a7a58e5bf5d5e96791008a6bd26d3178f160dcf754647324c56	713	20220607_laffy	9402	252	41	252	41	0	0	0	0	210	24	0	0	62	0	0	0	0	0	0	negative control	NoData	NoData	NoData	NoData	NoData	NoData	999	999	NoData	NoData	negative control
150387	RRAP_ECT01_2021_Ahya_HICK_6	RRAP_ECT01_2021_Ahya_HICK_6_R1.fastq.gz	f4e86f1bd0ba722063fdce4ff08ae711d2950ea7aa1729fc42f64a073b74da70	RRAP_ECT01_2021_Ahya_HICK_6_R2.fastq.gz	ad3df68828d101788c02d18c16008f96966c339135b98d19128277acf85765d8	713	20220607_laffy	14949	522	68	522	68	0	0	0	0	480	40	0	0	182	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacnthus	-14.42887978	145.451713	20210319	2.7	Hicks Reef
