otu	Domain	Supergroup	Division	Class	Order	Family	Genus	Symportal type
C3k	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3k
C50a	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50a
C50b	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50b
C3ba	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3ba
C50c	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50c
C50q	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50q
C3	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3
C50f	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50f
C3dq	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3dq
C3wv	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3wv
C3bd	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3bd
C3wy	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3wy
C3bh	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3bh
C3wu	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3wu
C3a	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3a
C50aj	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50aj
C3jv	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3jv
C50bj	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50bj
C3cz	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3cz
