"Site_year","estimate_hill","estimate_max","estimate_ED50","std.error_hill","std.error_max","std.error_ED50","statistic_hill","statistic_max","statistic_ED50","p.value_hill","p.value_max","p.value_ED50"
"Chicken_2021",49.9917581023972,0.579861963237704,35.3017562835748,18.3450966642142,0.0104205349388274,0.19524465083172,2.72507466258906,55.6460840678257,180.807802586106,0.0234125211128334,9.83611059183085e-13,1.23139467891063e-17
"Davies_2021",40.8971694978226,0.53224014488496,34.8385800546532,11.6533405303708,0.00808725088111552,0.145673736296031,3.50948034095775,65.8122460535743,239.154846580279,0.0066240309424268,2.18015353356926e-13,9.94142431583759e-19
"EastCay-22Jan_2021",43.4807206462367,0.445646436576925,35.3483490668007,11.3617260425103,0.0094084866571978,0.11414019703684,3.826946758226,47.3664312672422,309.692378184625,0.00404660551210669,4.17362855632583e-12,9.71179418751118e-20
"EastCay-23Jan_2021",48.80771224887,0.541065637874603,35.4787818820051,6.37809504109374,0.00665101061491855,0.0615406068073675,7.65239651250168,81.3508907444781,576.510108082939,3.15088877100595e-05,3.24335387211044e-14,3.61851510637079e-22
"Fitzroy_2021",22.7696580053601,0.77059426226359,36.106342309358,2.05008649457026,0.017962143584322,0.194578375709191,11.1066816281491,42.9010189483281,185.561947352881,1.4840152541867e-06,1.01390037252784e-11,9.74936268644854e-18
"Heron_2022",36.9702088605904,0.767565413109664,35.3942845469183,4.26970993991401,0.0181013211775487,0.128325761011629,8.65871672335076,42.4038337080988,275.815894391701,0.000130836898037011,1.15099937965918e-08,1.53247618140768e-13
"Hicks-21March_2021",37.4942647148668,0.633929406115741,36.2566588952746,1.53389464735081,0.00540131146085137,0.0618133524096512,24.4438330752527,117.365830633996,586.550599213475,1.53738440839289e-09,1.26703810247246e-15,3.09774036126822e-22
"Kelso_2021",44.319103000994,0.62928464778931,35.3830733726065,3.99789749649695,0.00507978326323026,0.0995230827995869,11.0856026298392,123.880215981724,355.526299801812,1.5080066134385e-06,8.13731465635046e-16,2.80458586266117e-20
"LadyMusgrave_2021",51.7299228338686,0.598872214611224,35.1264942741268,12.4447759044198,0.00624548811113593,0.10572397547961,4.15675808316455,95.888776658371,332.247194780348,0.00245953770830683,7.4746807772664e-15,5.15874527795843e-20
"LadyMusgrave_2022",43.6761330104416,0.60427520117851,34.7388048852382,3.20252610294389,0.00886605658349259,0.0976091597420636,13.6380256105619,68.1560280478685,355.896977056631,2.5711372234135e-07,1.59193896569155e-13,2.77840727301587e-20
"Mackay_2021",33.4953013252048,0.649148245964713,36.1564810747651,7.08312223018708,0.0158511070728192,0.29606720267301,4.72888935651194,40.9528648682112,122.12254767948,0.00107557334343075,1.53745860482074e-11,8.64434614142182e-16
"Mackay_2022",36.3618954421345,0.687634600712777,36.6894694133372,7.02775651654074,0.0186718682776119,0.279972325487225,5.17404030099108,36.8273056819531,131.046771674622,0.0035429010494869,2.77990106887639e-07,4.90796315059347e-10
"Martin_2021",60.2395192737191,0.660809073638062,36.1785379786909,5.51564127237102,0.00358901300773795,0.115516450158519,10.92158033835,184.119999624785,313.189488848078,1.71001082487624e-06,1.04582864363562e-17,8.7783567054246e-20
"Moore_2021",20.0635561492904,0.757775079909162,36.8808031884199,2.30469239905634,0.0192429870486885,0.223191829296205,8.70552450188382,39.3792854504264,165.242622477341,1.11991988606413e-05,2.18362912876505e-11,2.76793966693792e-17
"NoName_2021",42.3722861478718,0.58291027950865,35.6395375390067,3.11464900826316,0.00860895718698473,0.120286293338426,13.604192971811,67.7097431022087,296.289265799675,2.62678859157622e-07,1.68806790722997e-13,1.44615698852111e-19
"NorthDirection-23March_2021",34.3521840371486,0.665648104436311,35.4138438570257,3.27399262302515,0.013005252488895,0.1205237118466,10.4924439339168,51.1830204761269,293.833000282132,2.39493058457222e-06,2.08278116600758e-12,1.55865686364627e-19
"NorthDirection-24March_2021",36.6442108040529,0.65084492723659,35.2694258206376,2.79882157019886,0.00847264008718273,0.0753594601488428,13.0927284519425,76.8172518293534,468.01590339125,3.65303105021537e-07,5.42540989137152e-14,2.36277484782373e-21
"Pelorus_2021",46.5005399641124,0.74707742544516,35.6863145904287,9.47247277701461,0.0127139521008791,0.207669384791426,4.90901806304981,58.7604404607992,171.841962291507,0.00118025132229558,7.81484297021963e-12,1.4018845986374e-15
"StCrispin-15April_2021",31.3154772893417,0.55333688627793,35.4783148757492,2.35680716511346,0.00975577523721294,0.137901265401073,13.2872463020682,56.7189047331935,257.273309077794,3.21802587766393e-07,8.28646515062212e-13,5.15284028528854e-19
"StCrispin-30Mar_2021",31.7791834078699,0.68112666196801,36.1289567770057,1.54036586772126,0.00387234363307503,0.0786342278202069,20.6309319583161,175.895201074169,459.455860107289,3.19116721965562e-08,1.27672690366423e-15,2.81954102014192e-19
"Sykes_2021",43.3336374426568,0.611167837904286,34.800271267402,3.29434653714511,0.0072116538504262,0.0553884782429491,13.1539402288291,84.7472508498403,628.294410161595,3.42592057663968e-06,8.38655140641078e-12,3.41647994355425e-18
