"Site.name","Genotype","C50b/C50p-C3-C50f-C3bm-C3dt","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k/C50a/C50c-C3-C3ba-C50q-C50f","C3k/C50a/C50b/C50c-C3ba-C50q-C3-C50f","C3k-C3wy-C50a-C3wu-C3ba-C50q","C3k/C3bo-C3ba-C50a-C50q-C50b","C3k/C50b-C3ba-C50a-C50q-C3-C3bh","C3k-C50a-C3wy-C50b-C3ba-C3wu","C3k/C50b-C50a-C3ba-C50q-C3-C50f","C3k/C50a/C1-C3-C3ba-C3dq-C50q-C3a","A1-A1gr-A1gd","A1-A1gr-A1gd-A1mm-A1bf","dominant_type","all_typeprofs","SampleYear","Site.name_geno_year","C3k","C50b","A1","C50c","C50a","A1gr","C3bo","C50p","C3ba","C3","C3dq","C3wy","A1gd","C50q","C3a","C3wu","C3bp","C50f","C3bm","C1","C3bh","C3cz","C50bj","C3wv","C3b","C50u","C50aj","C3bd","C3ah","298_C","C3ad","C21","C50v","40872_C","48186_C","C3ss","C3jv","40786_C","C3su","37134_C","C50aq","37138_C","21216_C","C50ax","C3st","21223_C","21173_C","1079331_C","TotalAbundance","Sitecode","OTU_PC1","OTU_PC2","OTU_PC3","OTU_PC4","OTU_PC5","OTU_PC6"
"Moore",386,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Moore_386_2021",8455,109,0,466,1217,0,0,0,1468,345,518,0,0,984,250,0,0,302,0,0,83,172,87,0,0,0,252,302,87,0,0,0,0,76,83,97,119,0,0,75,0,0,109,0,70,0,0,0,15726,"MOOR",-2.65314620778561,-0.609460366251856,-0.659578285515035,0.815984981119694,0.306454550143349,1.07377865446079
"Kelso",214,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Kelso_214_2021",8430,0,0,228,1419,0,79,0,1250,365,430,0,0,1311,236,0,0,305,0,0,72,113,186,0,0,0,232,262,101,0,0,0,0,0,0,80,141,164,0,67,0,0,99,0,160,0,0,0,15730,"KELS",-2.92611493164903,-0.503545526858453,-0.513614481327286,1.03046355456412,0.426226314671948,0.486941284426986
"Kelso",204,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Kelso_204_2021",9332,78,0,200,1125,0,71,0,1393,269,289,0,0,921,110,0,0,174,0,0,78,128,0,0,0,0,197,241,124,0,0,0,0,0,0,113,237,204,94,142,0,73,0,0,136,0,0,0,15729,"KELS",-3.81153325771836,0.526887384966989,0.10247726010358,0.30342247866054,-0.0256174128843209,-1.83699291372809
"St Crispin",175,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_175_2021",9201,0,0,450,1037,0,0,0,1486,340,391,0,0,823,208,0,0,294,0,0,0,116,80,0,0,0,239,260,112,0,0,0,0,0,102,226,155,0,0,88,0,120,0,0,0,0,0,0,15728,"STCR",-2.53198000155681,-0.579862848345307,-0.765538468184961,-0.573583584792479,-0.300925453053613,-1.65621971465262
"Moore",418,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Moore_418_2021",10165,0,0,143,966,0,97,0,808,422,328,0,0,585,115,0,0,163,0,0,0,248,0,0,0,0,87,284,155,0,0,0,0,73,0,223,165,0,0,120,0,71,141,0,111,103,159,0,15732,"MOOR",-4.12080928733015,1.36768537138356,1.46319085135751,1.06462188595785,0.636472032488492,1.94082047234559
"Moore",389,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Moore_389_2021",9930,71,0,134,840,0,0,0,1254,183,370,0,0,710,154,0,0,185,0,0,91,307,0,0,0,0,189,379,83,0,0,0,0,0,0,98,140,73,0,116,0,0,156,0,131,0,136,0,15730,"MOOR",-4.05310283270794,0.698669935954476,0.371370488679864,1.42198084920767,-0.009883390786343,1.29811350415882
"St Crispin",177,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","St Crispin_177_2021",9285,296,0,0,690,0,0,0,1333,291,442,0,0,830,263,0,0,186,0,0,364,160,0,0,0,0,244,231,96,0,0,0,0,72,0,220,137,186,0,91,0,125,98,0,89,0,0,0,15729,"STCR",-3.83221307843277,0.622639447551961,-0.961917114971565,0.430391180698214,0.119105741516455,-0.15224782598018
"Moore",378,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Moore_378_2021",7293,183,0,224,932,0,0,0,1920,450,837,0,0,976,634,0,0,415,0,144,209,104,0,0,0,0,408,269,82,170,161,0,0,0,0,96,154,0,0,71,0,0,0,0,0,0,0,0,15732,"MOOR",-2.22065159574453,-2.950736862214,-5.1148781215093,-1.95497215644438,-0.553247341758537,1.14857035035818
"Kelso",207,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","Kelso_207_2021",9370,103,0,224,972,0,82,0,1311,148,259,0,0,896,121,0,0,180,0,0,105,211,71,0,0,0,198,367,125,0,0,0,0,87,0,122,153,77,84,69,0,77,0,0,185,0,134,0,15731,"KELS",-4.27677698870589,0.598295859204447,0.491499726275515,1.0810854392947,-0.0657126624928522,-0.50779710066853
"North Direction",53,0,13752,0,0,0,0,0,0,0,0,0,0,"C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","C3k-C50a-C3-C3ba-C50q-C50f-C3dq-C3a","2021","North Direction_53_2021",9301,195,0,309,754,0,0,0,1638,243,398,0,0,897,202,0,0,226,0,0,0,0,85,0,0,0,293,180,347,0,0,0,0,0,78,0,227,0,0,202,0,0,0,0,0,0,154,0,15729,"NDIR",-3.06145707554829,-0.657717851795385,-0.973607489390895,-0.384342599800942,-0.984765699630529,-2.37109583662962
