"Site_year","Collection.date","Site","Site_geno_year","Site.name","Genotype","Depth_corrected","Time","Health.Chart","Health.Chart.num","SampleYear","Tide_adjust","fvfm_ED50","fvfm_ED50CIrange","LowerCI_fvfmED50","UpperCI_fvfmED50","fvfm_ed50_std_error","ndvi_ED50","ndvi_ED50CIrange","LowerCI_ndviED50","UpperCI_ndviED50","ndvi_ed50_std_error","RelativeNDVI9C","RelativeFvFm9C","Lat","Lon","Km_to_coastline","Subregion","Shelf.pos","Region","acuteHeatStress","naturalBleaching","resampled","subproject","Trip","RelativeFvFm9C.adj","RelativeNDVI9C.adj","ndvi_ED50.adj","fvfm_ED50.adj","Sitename_geno_year"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_24_2021","Hicks",24,1.5,"2021-03-20 09:32:00","C3",3,2021,1.52910301439051,36.2033874828778,0.731150625310448,35.8378121702226,36.5689627955331,0.185430938016879,35.6909361056119,1.10540184099112,35.1382351851163,36.2436370261074,0.280338745747818,0.149739391080608,0.144663630067687,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.303250433595006,0.19607099555128,35.1039818026759,36.2241399960237,"Hicks_24_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_25_2021","Hicks",25,1.7,"2021-03-20 09:34:00","C5",5,2021,1.52754568684762,36.8965441347786,0.642854318872892,36.5751169753421,37.217971294215,0.163037649466808,36.4567309536085,3.70679937206208,34.6033312675774,38.3101306396395,0.940073960588805,0.526495896418182,0.31884991871362,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.477436722240939,0.572827500888853,35.8697766506725,36.9172966479245,"Hicks_25_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_26_2021","Hicks",26,1.2,"2021-03-20 09:36:00","C3",3,2021,1.52597895401064,36.6544044412509,0.778506623036847,36.2651511297325,37.0436577527693,0.197441140532132,36.8821197299945,2.76863145459743,35.4978040026957,38.2664354572932,0.702147075061757,0.2948124677169,0.261027417424598,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.419614220951917,0.341144072187572,36.2951654270585,36.6751569543968,"Hicks_26_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_27_2021","Hicks",27,3.3,"2021-03-20 09:40:00","C5",5,2021,1.52281757903136,36.3119869567976,0.766069287640491,35.9289523129774,36.6950216006179,0.194286842786713,36.2813608960594,1.19603886412348,35.6833414639977,36.8793803281212,0.303325019554325,0.176939940403114,0.171427910988742,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.330014714516061,0.223271544873786,35.6944065931234,36.3327394699435,"Hicks_27_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_28_2021","Hicks",28,3.1,"2021-03-20 09:45:00","C5",5,2021,1.5188143283456,36.0441894024922,0.712784746759695,35.6877970291123,36.400581775872,0.180773071403247,36.1201951552435,1.20798601837978,35.5162021460536,36.7241881644334,0.30635491340403,0.184516712774599,0.16698328291577,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.325570086443089,0.230848317245271,35.5332408523075,36.0649419156381,"Hicks_28_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_29_2021","Hicks",29,3,"2021-03-20 09:48:00","C4",4,2021,1.51638536319732,36.4838856499568,0.675297378309793,36.1462369608019,36.8215343391117,0.171265703625919,36.8684471862841,1.07860122823587,36.3291465721662,37.407747800402,0.27354189605346,0.346351205220844,0.260112077429883,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.418698880957202,0.392682809691516,36.2814928833481,36.5046381631027,"Hicks_29_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_30_2021","Hicks",30,3,"2021-03-20 09:50:00","C6",6,2021,1.51475496140443,35.644052210599,0.714061566915305,35.2870214271413,36.0010829940566,0.181096892447691,36.1208282596197,1.32442032922204,35.4586180950087,36.7830384242307,0.33588358565073,0.0800003280723154,0.18312274927011,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.341709552797429,0.126331932542987,35.5338739566837,35.6648047237449,"Hicks_30_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_31_2021","Hicks",31,2.9,"2021-03-20 09:53:00","C4",4,2021,1.51229292027408,36.2530728258851,0.719349222134355,35.8933982148179,36.6127474369522,0.182437922371259,36.0579031996467,1.21532083724024,35.4502427810266,36.6655636182668,0.308215082116778,0.178764103875733,0.179611274215632,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.338198077742951,0.225095708346405,35.4709488967107,36.273825339031,"Hicks_31_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_32_2021","Hicks",32,3.4,"2021-03-20 09:56:00","C4",4,2021,1.50981139370059,36.1049482601584,0.710156773083639,35.7498698736166,36.4600266467002,0.180106577240531,35.6974115087616,1.08253880062186,35.1561421084507,36.2386809090726,0.274540495895661,0.087535056126364,0.163014168728188,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.321600972255507,0.133866660597036,35.1104572058256,36.1257007733043,"Hicks_32_2021"
"Hicks-21March_2021","2021-03-20","Hicks-21March","Hicks-21March_33_2021","Hicks",33,2.3,"2021-03-20 10:04:00","D4",4,2021,1.50310080813461,36.429678382243,0.694419935468176,36.0824684145089,36.776888349977,0.176115475462814,36.5380604823108,1.24643379494228,35.9148435848396,37.1612773797819,0.316105576971458,0.216619350971736,0.246634735466794,-14.4735,145.5046,50.008,"Cooktown","Outer","North","Y","N","N","ECT",2,0.405221538994113,0.262950955442408,35.9511061793748,36.4504308953889,"Hicks_33_2021"
