"Site","Site.name","Reef.name","SampleYear","Genotype","Tank","Treatment","Site_Rack","Site_Rack_Year","Site_year","Site_geno_year","Collection.date","Type","Qualityscore","PAM_date","PAM_time","F1","F2","F3","Fm.1","Fm.2","Fm.3","Y.II.1","Y.II.2","Y.II.3","Y.II.mean","Y.II.sd","F0mean","FMmean","file","Site_year_tank","meanTemp_hold","meanTemp_hold_corr","eventID"
"EastCay-22Jan","East Cay","East Cay",2021,40,2,"+6C","EastCay-22Jan_783","EastCay-22Jan_783_2021","EastCay-22Jan_2021","EastCay-22Jan_40_2021","2021-01-21","Seasim",0,"22.01.21","22:14:13",0.2152,0.174,0.174,0.5574,0.4755,0.4672,0.614,0.634,0.627,0.625,0.0101488915650922,0.187733333333333,0.500033333333333,"../RawData/PAM/2021/EasyCay-22Jan_783.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_40a"
"EastCay-22Jan","East Cay","East Cay",2021,44,2,"+6C","EastCay-22Jan_784","EastCay-22Jan_784_2021","EastCay-22Jan_2021","EastCay-22Jan_44_2021","2021-01-21","Seasim",0,"22.01.21","22:14:13",0.174,0.1745,0.1564,0.4593,0.4113,0.3436,0.621,0.576,0.545,0.580666666666667,0.0382143079661706,0.1683,0.404733333333333,"../RawData/PAM/2021/EasyCay-22Jan_784.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_44a"
"EastCay-22Jan","East Cay","East Cay",2021,42,2,"+6C","EastCay-22Jan_405","EastCay-22Jan_405_2021","EastCay-22Jan_2021","EastCay-22Jan_42_2021","2021-01-21","Seasim",0,"22.01.21","22:13:51",0.1926,0.148,0.1931,0.525,0.3858,0.4574,0.633,0.616,0.578,0.609,0.0281602556806575,0.1779,0.456066666666667,"../RawData/PAM/2021/EasyCay-22Jan_405.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_42a"
"EastCay-22Jan","East Cay","East Cay",2021,43,2,"+6C","EastCay-22Jan_406","EastCay-22Jan_406_2021","EastCay-22Jan_2021","EastCay-22Jan_43_2021","2021-01-21","Seasim",0,"22.01.21","22:13:51",0.2392,0.1299,0.1897,0.5887,0.3299,0.4662,0.594,0.606,0.593,0.597666666666667,0.00723417813807024,0.186266666666667,0.4616,"../RawData/PAM/2021/EasyCay-22Jan_406.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_43a"
"EastCay-22Jan","East Cay","East Cay",2021,41,2,"+6C","EastCay-22Jan_407","EastCay-22Jan_407_2021","EastCay-22Jan_2021","EastCay-22Jan_41_2021","2021-01-21","Seasim",0,"22.01.21","22:13:51",0.1892,0.2118,0.1848,0.4544,0.4931,0.4451,0.584,0.571,0.585,0.58,0.00781024967590666,0.195266666666667,0.4642,"../RawData/PAM/2021/EasyCay-22Jan_407.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_41a"
"EastCay-22Jan","East Cay","East Cay",2021,45,2,"+6C","EastCay-22Jan_408","EastCay-22Jan_408_2021","EastCay-22Jan_2021","EastCay-22Jan_45_2021","2021-01-21","Seasim",0,"22.01.21","22:13:51",0.1873,0.2137,0.2181,0.4716,0.5137,0.5186,0.603,0.584,0.579,0.588666666666667,0.0126622799421484,0.206366666666667,0.5013,"../RawData/PAM/2021/EasyCay-22Jan_408.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_45a"
"EastCay-22Jan","East Cay","East Cay",2021,51,2,"+6C","EastCay-22Jan_765","EastCay-22Jan_765_2021","EastCay-22Jan_2021","EastCay-22Jan_51_2021","2021-01-21","Seasim",0,"22.01.21","22:14:31",0.1539,0.2828,0.2054,0.3966,0.7368,0.5544,0.612,0.616,0.63,0.619333333333333,0.00945163125250523,0.214033333333333,0.5626,"../RawData/PAM/2021/EasyCay-22Jan_765.csv","EastCay-22Jan_2021_2",32.42165,32.42165,"Ahya_51a"
"EastCay-22Jan","East Cay","East Cay",2021,38,3,"+9C","EastCay-22Jan_81","EastCay-22Jan_81_2021","EastCay-22Jan_2021","EastCay-22Jan_38_2021","2021-01-21","Seasim",0,"22.01.21","22:08:40",0.124,0.148,0.098,0.2691,0.3279,0.2059,0.539,0.549,0.524,0.537333333333333,0.0125830573921179,0.123333333333333,0.267633333333333,"../RawData/PAM/2021/EasyCay-22Jan_81.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_38a"
"EastCay-22Jan","East Cay","East Cay",2021,39,3,"+9C","EastCay-22Jan_82","EastCay-22Jan_82_2021","EastCay-22Jan_2021","EastCay-22Jan_39_2021","2021-01-21","Seasim",0,"22.01.21","22:08:40",0.326,0.2657,0.2975,0.6652,0.5608,0.6162,0.51,0.526,0.517,0.517666666666667,0.00802080627701065,0.2964,0.614066666666667,"../RawData/PAM/2021/EasyCay-22Jan_82.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_39a"
"EastCay-22Jan","East Cay","East Cay",2021,40,3,"+9C","EastCay-22Jan_83","EastCay-22Jan_83_2021","EastCay-22Jan_2021","EastCay-22Jan_40_2021","2021-01-21","Seasim",0,"22.01.21","22:08:40",0.2191,0.198,0.2294,0.4618,0.4377,0.4868,0.525,0.548,0.529,0.534,0.0122882057274445,0.2155,0.4621,"../RawData/PAM/2021/EasyCay-22Jan_83.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_40a"
"EastCay-22Jan","East Cay","East Cay",2021,44,3,"+9C","EastCay-22Jan_84","EastCay-22Jan_84_2021","EastCay-22Jan_2021","EastCay-22Jan_44_2021","2021-01-21","Seasim",0,"22.01.21","22:08:40",0.1696,0.1931,0.274,0.3627,0.3784,0.5667,0.532,0.49,0.516,0.512666666666667,0.0211974841274462,0.212233333333333,0.435933333333333,"../RawData/PAM/2021/EasyCay-22Jan_84.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_44a"
"EastCay-22Jan","East Cay","East Cay",2021,42,3,"+9C","EastCay-22Jan_481","EastCay-22Jan_481_2021","EastCay-22Jan_2021","EastCay-22Jan_42_2021","2021-01-21","Seasim",0,"22.01.21","22:08:11",0.1583,0.1382,0.1706,0.3088,0.2765,0.348,0.487,0.5,0.51,0.499,0.0115325625946708,0.1557,0.3111,"../RawData/PAM/2021/EasyCay-22Jan_481.csv","EastCay-22Jan_2021_3",35.12818333,35.12818333,"Ahya_42a"
