"Site","Site_year","SampleYear","Tank","Site_Rack","Genotype","Rack.Pos","Treatment","MedNDVI","Label","Site_geno_year","Site_year_tank","eventID"
"Chicken","Chicken_2021",2021,10,"Chicken_816",324,816,"+3C",0.535134494304657,"Chicken_2021_5am_816","Chicken_324_2021","Chicken_2021_10","Ahya_324"
"Chicken","Chicken_2021",2021,10,"Chicken_401",305,401,"+3C",0.487824082374573,"Chicken_2021_5am_401","Chicken_305_2021","Chicken_2021_10","Ahya_305"
"Chicken","Chicken_2021",2021,10,"Chicken_402",306,402,"+3C",0.51412707567215,"Chicken_2021_5am_402","Chicken_306_2021","Chicken_2021_10","Ahya_306"
"Chicken","Chicken_2021",2021,10,"Chicken_403",307,403,"+3C",0.609431326389313,"Chicken_2021_5am_403","Chicken_307_2021","Chicken_2021_10","Ahya_307"
"Chicken","Chicken_2021",2021,10,"Chicken_404",308,404,"+3C",0.516166985034943,"Chicken_2021_5am_404","Chicken_308_2021","Chicken_2021_10","Ahya_308"
"Chicken","Chicken_2021",2021,10,"Chicken_533",329,533,"+3C",0.547569096088409,"Chicken_2021_5am_533","Chicken_329_2021","Chicken_2021_10","Ahya_329"
"Chicken","Chicken_2021",2021,10,"Chicken_534",330,534,"+3C",0.663502991199493,"Chicken_2021_5am_534","Chicken_330_2021","Chicken_2021_10","Ahya_330"
"Chicken","Chicken_2021",2021,10,"Chicken_873",309,873,"+3C",0.573189079761505,"Chicken_2021_5am_873","Chicken_309_2021","Chicken_2021_10","Ahya_309"
"Chicken","Chicken_2021",2021,10,"Chicken_875",311,875,"+3C",0.604660153388977,"Chicken_2021_5am_875","Chicken_311_2021","Chicken_2021_10","Ahya_311"
"Chicken","Chicken_2021",2021,10,"Chicken_876",312,876,"+3C",0.552474558353424,"Chicken_2021_5am_876","Chicken_312_2021","Chicken_2021_10","Ahya_312"
"Chicken","Chicken_2021",2021,10,"Chicken_881",325,881,"+3C",0.637212157249451,"Chicken_2021_5am_881","Chicken_325_2021","Chicken_2021_10","Ahya_325"
"Chicken","Chicken_2021",2021,10,"Chicken_882",326,882,"+3C",0.670865476131439,"Chicken_2021_5am_882","Chicken_326_2021","Chicken_2021_10","Ahya_326"
"Chicken","Chicken_2021",2021,10,"Chicken_883",327,883,"+3C",0.581977844238281,"Chicken_2021_5am_883","Chicken_327_2021","Chicken_2021_10","Ahya_327"
"Chicken","Chicken_2021",2021,10,"Chicken_884",328,884,"+3C",0.665456473827362,"Chicken_2021_5am_884","Chicken_328_2021","Chicken_2021_10","Ahya_328"
"Chicken","Chicken_2021",2021,10,"Chicken_969",317,969,"+3C",0.614916384220123,"Chicken_2021_5am_969","Chicken_317_2021","Chicken_2021_10","Ahya_317"
"Chicken","Chicken_2021",2021,10,"Chicken_970",318,970,"+3C",0.641131520271301,"Chicken_2021_5am_970","Chicken_318_2021","Chicken_2021_10","Ahya_318"
"Chicken","Chicken_2021",2021,10,"Chicken_971",319,971,"+3C",0.421134412288666,"Chicken_2021_5am_971","Chicken_319_2021","Chicken_2021_10","Ahya_319"
