"Site.name","Variable","Metric","Value","Depth","Source","Spat_res","Time_res","Period","Multi_level","Depth.adjusted"
"Heron","Temperature","DHW_freq_sup4",0.0177501826150475,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","DHW_freq_sup4",0.0263696128560993,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks_2","Temperature","DHW_freq_sup4",0.0274653031409788,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","DHW_freq_sup4",0.0181154127100073,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","DHW_freq_sup4",0.0149744338933528,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","DHW_freq_sup4",0.012417823228634,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","DHW_freq_sup4",0.0239590942293645,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","DHW_freq_sup4",0.0199415631848064,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","DHW_freq_sup4",0.02081811541271,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","DHW_freq_sup4",0.0180423666910153,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Pelorus East","Temperature","DHW_freq_sup4",0.0224981738495252,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"St Crispin","Temperature","DHW_freq_sup4",0.0227903579254931,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Sykes","Temperature","DHW_freq_sup4",0.016581446311176,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"21-550","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Chicken","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Davies","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"East Cay","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Island","Temperature","DHW_freq_sup8",0.0027027027027027,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Fitzroy Reef","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Heron","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks","Temperature","DHW_freq_sup8",0.00606281957633309,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Hicks_2","Temperature","DHW_freq_sup8",0.00620891161431702,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Kelso","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Lady Musgrave","Temperature","DHW_freq_sup8",0,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Mackay","Temperature","DHW_freq_sup8",0.00131482834185537,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Martin","Temperature","DHW_freq_sup8",0.00182615047479912,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"Moore","Temperature","DHW_freq_sup8",0.00262965668371074,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"No Name","Temperature","DHW_freq_sup8",0.00672023374726077,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
"North Direction","Temperature","DHW_freq_sup8",0.00379839298758218,-0.2,"Coralwatch","5km","daily","1985-2022","No",NA
