"Site","Site_geno_year","Site_year","Site.name","Genotype","SampleYear","RelativeFvFm9C","eventID"
"Reef21550-20Jan","Reef21550-20Jan_27_2021","Reef21550-20Jan_2021","Reef21550",27,2021,0.879935010097301,"Ahya_27a"
"Reef21550-20Jan","Reef21550-20Jan_28_2021","Reef21550-20Jan_2021","Reef21550",28,2021,0.908055472541507,"Ahya_28a"
"Reef21550-20Jan","Reef21550-20Jan_29_2021","Reef21550-20Jan_2021","Reef21550",29,2021,0.897388294912559,"Ahya_29a"
"Reef21550-20Jan","Reef21550-20Jan_30_2021","Reef21550-20Jan_2021","Reef21550",30,2021,0.928611144822006,"Ahya_30a"
"Reef21550-20Jan","Reef21550-20Jan_31_2021","Reef21550-20Jan_2021","Reef21550",31,2021,0.892197861156426,"Ahya_31a"
"Reef21550-20Jan","Reef21550-20Jan_32_2021","Reef21550-20Jan_2021","Reef21550",32,2021,0.8928682758175,"Ahya_32a"
"Reef21550-20Jan","Reef21550-20Jan_33_2021","Reef21550-20Jan_2021","Reef21550",33,2021,0.878962496074367,"Ahya_33a"
"Reef21550-20Jan","Reef21550-20Jan_23_2021","Reef21550-20Jan_2021","Reef21550",23,2021,0.899335968197648,"Ahya_23a"
"Reef21550-20Jan","Reef21550-20Jan_24_2021","Reef21550-20Jan_2021","Reef21550",24,2021,0.895883623976499,"Ahya_24a"
"Reef21550-20Jan","Reef21550-20Jan_25_2021","Reef21550-20Jan_2021","Reef21550",25,2021,0.87544290079446,"Ahya_25a"
"Reef21550-20Jan","Reef21550-20Jan_26_2021","Reef21550-20Jan_2021","Reef21550",26,2021,0.765641301886792,"Ahya_26a"
"Sykes","Sykes_126_2021","Sykes_2021","Sykes",126,2021,0.687937959532246,"Ahya_126a"
"Sykes","Sykes_127_2021","Sykes_2021","Sykes",127,2021,0.760462213765717,"Ahya_127a"
"Sykes","Sykes_128_2021","Sykes_2021","Sykes",128,2021,0.671715823642797,"Ahya_128a"
"Sykes","Sykes_129_2021","Sykes_2021","Sykes",129,2021,0.667506469240601,"Ahya_129a"
"Sykes","Sykes_130_2021","Sykes_2021","Sykes",130,2021,0.696719532346939,"Ahya_130a"
"Sykes","Sykes_131_2021","Sykes_2021","Sykes",131,2021,0.658525334766895,"Ahya_131a"
"Sykes","Sykes_121_2021","Sykes_2021","Sykes",121,2021,0.688517742650063,"Ahya_121a"
"Sykes","Sykes_122_2021","Sykes_2021","Sykes",122,2021,0.720367529149149,"Ahya_122a"
"Sykes","Sykes_123_2021","Sykes_2021","Sykes",123,2021,0.643941167636574,"Ahya_123a"
"Sykes","Sykes_124_2021","Sykes_2021","Sykes",124,2021,0.566993844692491,"Ahya_124a"
"Sykes","Sykes_125_2021","Sykes_2021","Sykes",125,2021,0.699703957115423,"Ahya_125a"
"Sykes","Sykes_132_2021","Sykes_2021","Sykes",132,2021,0.72017862183633,"Ahya_132a"
"Sykes","Sykes_133_2021","Sykes_2021","Sykes",133,2021,0.734525616919423,"Ahya_133a"
"Sykes","Sykes_134_2021","Sykes_2021","Sykes",134,2021,0.668625197439385,"Ahya_134a"
"Sykes","Sykes_135_2021","Sykes_2021","Sykes",135,2021,0.706592821583733,"Ahya_135a"
"Sykes","Sykes_141_2021","Sykes_2021","Sykes",141,2021,0.641273195944366,"Ahya_141a"
"Sykes","Sykes_142_2021","Sykes_2021","Sykes",142,2021,0.682114782260126,"Ahya_142a"
"Sykes","Sykes_143_2021","Sykes_2021","Sykes",143,2021,0.647331983230208,"Ahya_143a"
"Sykes","Sykes_144_2021","Sykes_2021","Sykes",144,2021,0.590691376627579,"Ahya_144a"
"Sykes","Sykes_145_2021","Sykes_2021","Sykes",145,2021,0.625851214298499,"Ahya_145a"
"Sykes","Sykes_150_2021","Sykes_2021","Sykes",150,2021,0.643165164000714,"Ahya_150a"
"Sykes","Sykes_151_2021","Sykes_2021","Sykes",151,2021,0.75808314537521,"Ahya_151a"
"Sykes","Sykes_152_2021","Sykes_2021","Sykes",152,2021,0.729367741300126,"Ahya_152a"
"Sykes","Sykes_153_2021","Sykes_2021","Sykes",153,2021,0.682803032140565,"Ahya_153a"
"Sykes","Sykes_154_2021","Sykes_2021","Sykes",154,2021,0.678461016798093,"Ahya_154a"
"Sykes","Sykes_155_2021","Sykes_2021","Sykes",155,2021,0.719966172044196,"Ahya_155a"
"Sykes","Sykes_156_2021","Sykes_2021","Sykes",156,2021,0.641487055363209,"Ahya_156a"
"Sykes","Sykes_157_2021","Sykes_2021","Sykes",157,2021,0.754359314564555,"Ahya_157a"
"Sykes","Sykes_158_2021","Sykes_2021","Sykes",158,2021,0.621445910349393,"Ahya_158a"
"Sykes","Sykes_159_2021","Sykes_2021","Sykes",159,2021,0.691652231575596,"Ahya_159a"
"Sykes","Sykes_160_2021","Sykes_2021","Sykes",160,2021,0.672029509018037,"Ahya_160a"
"Sykes","Sykes_161_2021","Sykes_2021","Sykes",161,2021,0.674872839444445,"Ahya_161a"
"Hicks-20March","Hicks-20March_1_2021","Hicks-20March_2021","Hicks",1,2021,0.265628628186369,"Ahya_1b"
"Hicks-20March","Hicks-20March_2_2021","Hicks-20March_2021","Hicks",2,2021,0.391455714150427,"Ahya_2b"
"Hicks-20March","Hicks-20March_3_2021","Hicks-20March_2021","Hicks",3,2021,0.214998187205287,"Ahya_3b"
"Hicks-20March","Hicks-20March_4_2021","Hicks-20March_2021","Hicks",4,2021,0.248900439223156,"Ahya_4b"
"Hicks-20March","Hicks-20March_5_2021","Hicks-20March_2021","Hicks",5,2021,0.280971075511276,"Ahya_5b"
"Hicks-20March","Hicks-20March_6_2021","Hicks-20March_2021","Hicks",6,2021,0.241626908994476,"Ahya_6b"
"Hicks-20March","Hicks-20March_7_2021","Hicks-20March_2021","Hicks",7,2021,0.265618905211537,"Ahya_7b"
"Hicks-20March","Hicks-20March_8_2021","Hicks-20March_2021","Hicks",8,2021,0.301590648766166,"Ahya_8b"
"Hicks-20March","Hicks-20March_9_2021","Hicks-20March_2021","Hicks",9,2021,0.242173834356518,"Ahya_9b"
"Hicks-20March","Hicks-20March_10_2021","Hicks-20March_2021","Hicks",10,2021,0.160338054968717,"Ahya_10b"
"Hicks-20March","Hicks-20March_11_2021","Hicks-20March_2021","Hicks",11,2021,0.244350858506208,"Ahya_11b"
"Hicks-20March","Hicks-20March_12_2021","Hicks-20March_2021","Hicks",12,2021,0.145498046849553,"Ahya_12b"
"Hicks-20March","Hicks-20March_13_2021","Hicks-20March_2021","Hicks",13,2021,0.230714429348461,"Ahya_13b"
"Hicks-20March","Hicks-20March_14_2021","Hicks-20March_2021","Hicks",14,2021,0.269261302328263,"Ahya_14b"
"Hicks-20March","Hicks-20March_15_2021","Hicks-20March_2021","Hicks",15,2021,0.273943789084299,"Ahya_15b"
"Hicks-20March","Hicks-20March_16_2021","Hicks-20March_2021","Hicks",16,2021,0.188141140189351,"Ahya_16b"
"Hicks-20March","Hicks-20March_17_2021","Hicks-20March_2021","Hicks",17,2021,0.244714577781737,"Ahya_17b"
"Hicks-20March","Hicks-20March_18_2021","Hicks-20March_2021","Hicks",18,2021,0.19717525456298,"Ahya_18b"
"Hicks-20March","Hicks-20March_19_2021","Hicks-20March_2021","Hicks",19,2021,0.212255668056602,"Ahya_19b"
"Hicks-20March","Hicks-20March_20_2021","Hicks-20March_2021","Hicks",20,2021,0.182883430064053,"Ahya_20b"
"Hicks-21March","Hicks-21March_21_2021","Hicks-21March_2021","Hicks",21,2021,0.305258500041725,"Ahya_21b"
"Hicks-21March","Hicks-21March_22_2021","Hicks-21March_2021","Hicks",22,2021,0.222057613122932,"Ahya_22b"
"Hicks-21March","Hicks-21March_23_2021","Hicks-21March_2021","Hicks",23,2021,0.247909776151692,"Ahya_23b"
"Hicks-21March","Hicks-21March_24_2021","Hicks-21March_2021","Hicks",24,2021,0.144663630067687,"Ahya_24b"
"Hicks-21March","Hicks-21March_25_2021","Hicks-21March_2021","Hicks",25,2021,0.31884991871362,"Ahya_25b"
"Hicks-21March","Hicks-21March_26_2021","Hicks-21March_2021","Hicks",26,2021,0.261027417424598,"Ahya_26b"
"Hicks-21March","Hicks-21March_27_2021","Hicks-21March_2021","Hicks",27,2021,0.171427910988742,"Ahya_27b"
"Hicks-21March","Hicks-21March_28_2021","Hicks-21March_2021","Hicks",28,2021,0.16698328291577,"Ahya_28b"
"Hicks-21March","Hicks-21March_29_2021","Hicks-21March_2021","Hicks",29,2021,0.260112077429883,"Ahya_29b"
"Hicks-21March","Hicks-21March_30_2021","Hicks-21March_2021","Hicks",30,2021,0.18312274927011,"Ahya_30b"
"Hicks-21March","Hicks-21March_31_2021","Hicks-21March_2021","Hicks",31,2021,0.179611274215632,"Ahya_31b"
"Hicks-21March","Hicks-21March_32_2021","Hicks-21March_2021","Hicks",32,2021,0.163014168728188,"Ahya_32b"
"Hicks-21March","Hicks-21March_33_2021","Hicks-21March_2021","Hicks",33,2021,0.246634735466794,"Ahya_33b"
"Hicks-21March","Hicks-21March_34_2021","Hicks-21March_2021","Hicks",34,2021,0.244391665674781,"Ahya_34b"
"Hicks-21March","Hicks-21March_35_2021","Hicks-21March_2021","Hicks",35,2021,0.277516140707046,"Ahya_35b"
"Hicks-21March","Hicks-21March_36_2021","Hicks-21March_2021","Hicks",36,2021,0.208229593829268,"Ahya_36b"
"Hicks-21March","Hicks-21March_37_2021","Hicks-21March_2021","Hicks",37,2021,0.141002848637428,"Ahya_37b"
"Hicks-21March","Hicks-21March_38_2021","Hicks-21March_2021","Hicks",38,2021,0.167015863735463,"Ahya_38b"
"Hicks-21March","Hicks-21March_39_2021","Hicks-21March_2021","Hicks",39,2021,0.205205133229591,"Ahya_39b"
"Hicks-21March","Hicks-21March_40_2021","Hicks-21March_2021","Hicks",40,2021,0.222212999328215,"Ahya_40b"
"Hicks-21March","Hicks-21March_41_2021","Hicks-21March_2021","Hicks",41,2021,0.215379076884088,"Ahya_41b"
"Hicks-21March","Hicks-21March_42_2021","Hicks-21March_2021","Hicks",42,2021,0.242255283613642,"Ahya_42b"
"Hicks-21March","Hicks-21March_43_2021","Hicks-21March_2021","Hicks",43,2021,0.199522858405242,"Ahya_43b"
"Martin","Martin_131_2021","Martin_2021","Martin",131,2021,0.37949509932514,"Ahya_131b"
"Martin","Martin_132_2021","Martin_2021","Martin",132,2021,0.406732950194742,"Ahya_132b"
"Martin","Martin_133_2021","Martin_2021","Martin",133,2021,0.209768314191221,"Ahya_133b"
"Martin","Martin_134_2021","Martin_2021","Martin",134,2021,0.263005000507212,"Ahya_134b"
"Martin","Martin_135_2021","Martin_2021","Martin",135,2021,0.434141273481008,"Ahya_135"
"Martin","Martin_136_2021","Martin_2021","Martin",136,2021,0.3986979345221,"Ahya_136"
"Martin","Martin_137_2021","Martin_2021","Martin",137,2021,0.450917265131402,"Ahya_137"
"Martin","Martin_138_2021","Martin_2021","Martin",138,2021,0.319267837485175,"Ahya_138"
"Martin","Martin_139_2021","Martin_2021","Martin",139,2021,0.409973833725141,"Ahya_139"
"Martin","Martin_140_2021","Martin_2021","Martin",140,2021,0.393195491072953,"Ahya_140"
"Martin","Martin_141_2021","Martin_2021","Martin",141,2021,0.431206768530353,"Ahya_141b"
"Martin","Martin_142_2021","Martin_2021","Martin",142,2021,0.520798471213753,"Ahya_142b"
"Martin","Martin_143_2021","Martin_2021","Martin",143,2021,0.413274240347564,"Ahya_143b"
"Martin","Martin_144_2021","Martin_2021","Martin",144,2021,0.474957870643129,"Ahya_144b"
"Martin","Martin_145_2021","Martin_2021","Martin",145,2021,0.490927497391706,"Ahya_145b"
"Martin","Martin_146_2021","Martin_2021","Martin",146,2021,0.527079716487525,"Ahya_146"
"Martin","Martin_147_2021","Martin_2021","Martin",147,2021,0.527264385811356,"Ahya_147"
"Martin","Martin_148_2021","Martin_2021","Martin",148,2021,0.432576875735218,"Ahya_148"
"Martin","Martin_149_2021","Martin_2021","Martin",149,2021,0.415711433548454,"Ahya_149"
"Martin","Martin_150_2021","Martin_2021","Martin",150,2021,0.430300181891689,"Ahya_150b"
"Martin","Martin_151_2021","Martin_2021","Martin",151,2021,0.480695414131987,"Ahya_151b"
"Martin","Martin_152_2021","Martin_2021","Martin",152,2021,0.361535336580381,"Ahya_152b"
"Martin","Martin_153_2021","Martin_2021","Martin",153,2021,0.412059250464449,"Ahya_153b"
"Martin","Martin_154_2021","Martin_2021","Martin",154,2021,0.425174091007178,"Ahya_154b"
"Martin","Martin_155_2021","Martin_2021","Martin",155,2021,0.64822133305676,"Ahya_155b"
"Martin","Martin_156_2021","Martin_2021","Martin",156,2021,0.484323422281658,"Ahya_156b"
"Martin","Martin_157_2021","Martin_2021","Martin",157,2021,0.530229653704181,"Ahya_157b"
"Martin","Martin_158_2021","Martin_2021","Martin",158,2021,0.474109697183489,"Ahya_158b"
"Martin","Martin_159_2021","Martin_2021","Martin",159,2021,0.371588131918387,"Ahya_159b"
"Martin","Martin_160_2021","Martin_2021","Martin",160,2021,0.436362539320217,"Ahya_160b"
"NoName","NoName_97_2021","NoName_2021","No Name",97,2021,0.239519049365226,"Ahya_97b"
"NoName","NoName_98_2021","NoName_2021","No Name",98,2021,0.0941873589865402,"Ahya_98b"
"NoName","NoName_99_2021","NoName_2021","No Name",99,2021,0.142641681903312,"Ahya_99b"
"NoName","NoName_100_2021","NoName_2021","No Name",100,2021,0.252296723687631,"Ahya_100b"
"NoName","NoName_101_2021","NoName_2021","No Name",101,2021,0.287432939635151,"Ahya_101b"
"NoName","NoName_102_2021","NoName_2021","No Name",102,2021,0.324419885665428,"Ahya_102b"
"NoName","NoName_103_2021","NoName_2021","No Name",103,2021,0.395097951442465,"Ahya_103b"
"NoName","NoName_104_2021","NoName_2021","No Name",104,2021,0.289826080201368,"Ahya_104b"
"NoName","NoName_105_2021","NoName_2021","No Name",105,2021,0.175833018,"Ahya_105b"
"NoName","NoName_106_2021","NoName_2021","No Name",106,2021,0.137940764892292,"Ahya_106b"
"NoName","NoName_107_2021","NoName_2021","No Name",107,2021,0.106306481614525,"Ahya_107b"
"NoName","NoName_108_2021","NoName_2021","No Name",108,2021,0.0701654826924048,"Ahya_108b"
"NoName","NoName_109_2021","NoName_2021","No Name",109,2021,0.247545734804034,"Ahya_109b"
"NoName","NoName_110_2021","NoName_2021","No Name",110,2021,0.262030398525321,"Ahya_110b"
"NoName","NoName_111_2021","NoName_2021","No Name",111,2021,0.297220019651692,"Ahya_111b"
"NoName","NoName_113_2021","NoName_2021","No Name",113,2021,0.213294050302345,"Ahya_113b"
"NoName","NoName_112_2021","NoName_2021","No Name",112,2021,0.276000731011893,"Ahya_112b"
"NoName","NoName_114_2021","NoName_2021","No Name",114,2021,0.192285600675746,"Ahya_114b"
"NoName","NoName_115_2021","NoName_2021","No Name",115,2021,0.279396973297199,"Ahya_115b"
"NoName","NoName_116_2021","NoName_2021","No Name",116,2021,0.135413552366919,"Ahya_116b"
"NoName","NoName_117_2021","NoName_2021","No Name",117,2021,0.365783859168517,"Ahya_117b"
"NoName","NoName_118_2021","NoName_2021","No Name",118,2021,0.256886115499374,"Ahya_118b"
"NoName","NoName_119_2021","NoName_2021","No Name",119,2021,0.302711365703186,"Ahya_119b"
"NoName","NoName_120_2021","NoName_2021","No Name",120,2021,0.293696622027977,"Ahya_120b"
"NoName","NoName_121_2021","NoName_2021","No Name",121,2021,0.306146264744666,"Ahya_121b"
"NoName","NoName_122_2021","NoName_2021","No Name",122,2021,0.11963567228819,"Ahya_122b"
"NoName","NoName_123_2021","NoName_2021","No Name",123,2021,0.264698532041885,"Ahya_123b"
"NoName","NoName_124_2021","NoName_2021","No Name",124,2021,0.178243127716217,"Ahya_124b"
"NoName","NoName_125_2021","NoName_2021","No Name",125,2021,0.349878336470588,"Ahya_125b"
"NoName","NoName_126_2021","NoName_2021","No Name",126,2021,0.330749301074786,"Ahya_126b"
"NoName","NoName_127_2021","NoName_2021","No Name",127,2021,0.295718313779162,"Ahya_127b"
"NoName","NoName_128_2021","NoName_2021","No Name",128,2021,0.441037587754406,"Ahya_128b"
"NoName","NoName_129_2021","NoName_2021","No Name",129,2021,0.209299576680765,"Ahya_129b"
"NoName","NoName_130_2021","NoName_2021","No Name",130,2021,0.348798465061728,"Ahya_130b"
"NorthDirection-23March","NorthDirection-23March_44_2021","NorthDirection-23March_2021","North Direction",44,2021,0.256584648713564,"Ahya_44b"
"NorthDirection-23March","NorthDirection-23March_45_2021","NorthDirection-23March_2021","North Direction",45,2021,0.19555255134774,"Ahya_45b"
"NorthDirection-23March","NorthDirection-23March_46_2021","NorthDirection-23March_2021","North Direction",46,2021,0.193072638395416,"Ahya_46"
"NorthDirection-23March","NorthDirection-23March_47_2021","NorthDirection-23March_2021","North Direction",47,2021,0.198518518592058,"Ahya_47b"
"NorthDirection-23March","NorthDirection-23March_48_2021","NorthDirection-23March_2021","North Direction",48,2021,0.258219606294233,"Ahya_48b"
"NorthDirection-23March","NorthDirection-23March_49_2021","NorthDirection-23March_2021","North Direction",49,2021,0.204452309260507,"Ahya_49b"
"NorthDirection-23March","NorthDirection-23March_50_2021","NorthDirection-23March_2021","North Direction",50,2021,0.20751578998795,"Ahya_50b"
"NorthDirection-23March","NorthDirection-23March_51_2021","NorthDirection-23March_2021","North Direction",51,2021,0.139861735382647,"Ahya_51b"
"NorthDirection-23March","NorthDirection-23March_52_2021","NorthDirection-23March_2021","North Direction",52,2021,0.258669749710453,"Ahya_52b"
"NorthDirection-23March","NorthDirection-23March_53_2021","NorthDirection-23March_2021","North Direction",53,2021,0.144794446195472,"Ahya_53b"
"NorthDirection-23March","NorthDirection-23March_54_2021","NorthDirection-23March_2021","North Direction",54,2021,0.15122605858631,"Ahya_54b"
"NorthDirection-23March","NorthDirection-23March_55_2021","NorthDirection-23March_2021","North Direction",55,2021,0.139696989188692,"Ahya_55b"
"NorthDirection-23March","NorthDirection-23March_56_2021","NorthDirection-23March_2021","North Direction",56,2021,0.161072941906241,"Ahya_56b"
"NorthDirection-23March","NorthDirection-23March_57_2021","NorthDirection-23March_2021","North Direction",57,2021,0.173182883552099,"Ahya_57b"
"NorthDirection-23March","NorthDirection-23March_58_2021","NorthDirection-23March_2021","North Direction",58,2021,0.120771894388062,"Ahya_58b"
"NorthDirection-23March","NorthDirection-23March_59_2021","NorthDirection-23March_2021","North Direction",59,2021,0.160142687707631,"Ahya_59b"
