"","Site_year","Site","Site_geno_year","Genotype","SampleYear","Absolute_estimate_ED50","fvfm_ED50CIrange","LowerCI_fvfmED50","UpperCI_fvfmED50","Std..Error","eventID"
"29","EastCay-23Jan_2021","EastCay-23Jan","EastCay-23Jan_81_2021","81","2021",36.3536240099412,1.07281586797524,35.8172160759536,36.8900319439289,0.272149112373532,"Ahya_81a"
"30","EastCay-23Jan_2021","EastCay-23Jan","EastCay-23Jan_82_2021","82","2021",36.1767423879692,0.673933074839695,35.8397758505494,36.5137089253891,0.170961572802747,"Ahya_82a"
"31","EastCay-23Jan_2021","EastCay-23Jan","EastCay-23Jan_83_2021","83","2021",35.9859150266255,0.312154510006607,35.8298377716222,36.1419922816288,0.0791865364389399,"Ahya_83a"
"32","EastCay-23Jan_2021","EastCay-23Jan","EastCay-23Jan_84_2021","84","2021",36.0826902570407,0.507736146285836,35.8288221838978,36.3365583301836,0.128801172369346,"Ahya_84a"
"33","EastCay-23Jan_2021","EastCay-23Jan","EastCay-23Jan_85_2021","85","2021",35.9287097034934,0.282539409186953,35.7874399988999,36.0699794080869,0.0716738554267427,"Ahya_85a"
"34","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_102_2021","102","2021",35.3494275172422,3.85456547209967,33.4221447811923,37.276710253292,0.979075265876109,"Ahya_102a"
"35","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_103_2021","103","2021",35.825763585346,6.32255533149109,32.6644859196005,38.9870412510915,1.60595470150987,"Ahya_103a"
"36","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_104_2021","104","2021",35.4463573778836,5.58763348149516,32.652540637136,38.2401741186311,1.41928157041606,"Ahya_104a"
"37","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_105_2021","105","2021",35.7842189224237,2.25659702177911,34.6559204115341,36.9125174333133,0.573184797369684,"Ahya_105a"
"38","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_80_2021","80","2021",36.0204716710023,2.92735801932866,34.5567926613379,37.4841506806666,0.743560811674977,"Ahya_80a"
"39","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_95_2021","95","2021",35.2534916125368,1.16315121451214,34.6719160052807,35.8350672197928,0.295445126784227,"Ahya_95a"
"40","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_96_2021","96","2021",35.573998253725,3.43092265201615,33.858536927717,37.2894595797331,0.871468271076813,"Ahya_96a"
"41","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_97_2021","97","2021",36.5850911010498,8.26423404127462,32.4529740804125,40.7172081216871,2.09914897017324,"Ahya_97a"
"42","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_106_2021","106","2021",35.9015904756812,4.53872115896378,33.6322298961993,38.1709510551631,1.15285358560258,"Ahya_106a"
"43","LadyMusgrave_2021","LadyMusgrave","LadyMusgrave_107_2021","107","2021",34.9888428494101,0.835130094695046,34.5712778020625,35.4064078967576,0.212126431739995,"Ahya_107a"
